SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LMB
169,MODEL1,PARMS,LMB,1.185510265,4.741078867,0.302218715,-0.825997491,3.105179556,0.226272228,0.205054104,-0.169265195,-1
170,MODEL1,PARMS,LMB,1.123934613,16.60798969,0.507188232,-0.681843736,1.640569341,-0.628611778,3.17502995,-7.001648804,-1
171,MODEL1,PARMS,LMB,1.21587244,9.053452127,-0.1181112,0.096596923,0.049345933,0.066813271,1.087987673,-1.8369385,-1
172,MODEL1,PARMS,LMB,1.145631393,6.283084117,0.40508455,-0.880902937,2.709993026,0.094087921,0.935163596,-2.204749777,-1
173,MODEL1,PARMS,LMB,1.280979894,-1.766638505,0.308538952,-0.481469458,1.154058485,0.655822726,-1.598707777,3.488475152,-1
174,MODEL1,PARMS,LMB,1.197407067,6.049194752,0.400677605,-0.712025849,1.970668436,0.099305185,1.328588669,-3.876005243,-1
175,MODEL1,PARMS,LMB,1.284951873,19.4728925,-0.177127805,0.246663625,-0.576917448,-0.589572482,3.274380397,-7.372865568,-1
176,MODEL1,PARMS,LMB,1.194658089,9.659106459,0.465330566,-1.065864383,3.760517648,-0.144443805,2.024441153,-5.620086664,-1
177,MODEL1,PARMS,LMB,1.169832698,3.119278499,0.222772019,-0.425723983,1.617348493,0.349069969,0.483759291,-1.81912992,-1
178,MODEL1,PARMS,LMB,1.190171339,0.706638303,0.278987397,-0.604134692,2.831921347,0.493998929,-0.383884477,0.81326114,-1
179,MODEL1,PARMS,LMB,1.166734188,11.84078158,0.331892179,-0.804269247,3.003647216,-0.242354745,1.529289695,-3.519338754,-1
180,MODEL1,PARMS,LMB,1.076995675,13.66278689,0.201202538,-0.630080467,2.537811271,-0.328176745,2.133498067,-5.056037229,-1
181,MODEL1,PARMS,LMB,1.184948729,1.824540461,0.311439721,-0.821200323,3.143020073,0.415290623,0.591854488,-2.519959499,-1
182,MODEL1,PARMS,LMB,1.24600308,13.56499558,0.302375541,-0.441354506,1.246980932,-0.351254117,1.900035584,-4.259430616,-1
183,MODEL1,PARMS,LMB,1.183508879,14.00010915,0.210933615,-0.133419368,0.471086149,-0.376700914,2.604806356,-6.047822784,-1
184,MODEL1,PARMS,LMB,1.247642328,0.134223347,0.224474495,-0.040018984,0.656065681,0.514941907,0.573602242,-1.793294443,-1
185,MODEL1,PARMS,LMB,1.180112295,6.581423639,0.183751241,0.03995052,-0.28900716,0.126127357,1.147257838,-3.13273366,-1
186,MODEL1,PARMS,LMB,1.2318954,6.637070821,0.498449647,-1.162809851,4.666641254,0.038585093,0.546571225,-1.052865987,-1
187,MODEL1,PARMS,LMB,1.21345707,3.07524506,-0.050908575,-0.054254192,0.467110599,0.454911052,0.173878171,-1.000257147,-1
188,MODEL1,PARMS,LMB,1.214573815,16.69007785,0.230654511,-0.519422536,2.177179457,-0.524228171,1.273538439,-1.391841522,-1
189,MODEL1,PARMS,LMB,1.225778518,3.020136764,0.186117755,-0.474381442,1.78484264,0.369576645,0.266904826,-1.24617767,-1
190,MODEL1,PARMS,LMB,1.169838826,0.99208243,0.334149749,-0.842710307,3.389206292,0.460139991,0.050112703,-0.752187797,-1
191,MODEL1,PARMS,LMB,1.257673891,10.89356785,0.46054127,-0.672792928,1.71818118,-0.233097977,1.512027681,-3.286713667,-1
192,MODEL1,PARMS,LMB,1.215040789,8.373032596,0.346629707,-0.633762385,2.083456167,-0.040410941,2.274338421,-5.724706804,-1
193,MODEL1,PARMS,LMB,1.301802002,11.34575007,0.487826151,-1.058184265,3.195070231,-0.278347702,2.724044696,-6.757414472,-1
194,MODEL1,PARMS,LMB,1.241511259,8.110262423,0.260236297,-0.946790746,4.115732666,0.009986775,1.527433849,-3.850161535,-1
195,MODEL1,PARMS,LMB,1.110914206,-7.349960245,0.384391576,-0.5293366,1.550959953,0.98555485,-2.357622191,5.117863242,-1
196,MODEL1,PARMS,LMB,1.137868625,1.158907238,0.331627035,-0.866109803,2.81750063,0.469545447,-1.095472011,2.484118812,-1
197,MODEL1,PARMS,LMB,1.116634221,0.245440483,0.356530394,-0.751982046,2.887161013,0.486331307,0.503536074,-1.653053561,-1
198,MODEL1,PARMS,LMB,1.190700408,20.52037947,0.187662398,-0.475838543,1.854234688,-0.770147976,3.813526074,-9.387978296,-1
199,MODEL1,PARMS,LMB,1.160624073,-2.017388607,0.380868353,-1.112849293,4.29890624,0.660248624,-1.727018618,4.100599396,-1
200,MODEL1,PARMS,LMB,1.23712284,4.949407387,0.185689484,-0.602303449,2.944963187,0.244085772,1.456068181,-4.083632749,-1
201,MODEL1,PARMS,LMB,1.302423129,13.32539806,0.311313853,-0.588232719,2.114484098,-0.340151839,1.290963596,-2.330652924,-1
202,MODEL1,PARMS,LMB,1.275566577,1.982464664,0.259374007,-0.759613834,2.938953497,0.438236798,-0.971024541,1.659148691,-1
203,MODEL1,PARMS,LMB,1.218053258,6.051008547,0.02743064,0.188025798,-0.764553794,0.2193378,0.864959272,-3.209735732,-1
204,MODEL1,PARMS,LMB,1.264538233,-2.833129992,0.289747123,-0.46441104,1.290883969,0.71581796,-0.929949372,2.111121653,-1
205,MODEL1,PARMS,LMB,1.157732169,-3.027299154,0.190085941,-0.044529074,-0.987029422,0.761593951,-0.650946128,0.024143882,-1
206,MODEL1,PARMS,LMB,1.181016585,6.810499523,0.414950488,-1.070604593,3.805606758,0.07583613,0.111029428,-0.673242906,-1
207,MODEL1,PARMS,LMB,1.133521215,5.794219354,0.504767097,-1.252968415,3.890607805,0.111913373,0.108387175,0.079985467,-1
208,MODEL1,PARMS,LMB,1.239575835,-6.665388978,0.07305689,-0.361294222,1.928390765,1.048841064,-2.435531352,4.944218528,-1
209,MODEL1,PARMS,LMB,1.251605664,-1.026106232,0.412677349,-1.391221825,4.833881082,0.604605055,-0.844725479,0.930876323,-1
210,MODEL1,PARMS,LMB,1.138209697,10.82379032,0.3878691,-0.89465783,3.154855311,-0.209387593,2.388442165,-5.795143603,-1
211,MODEL1,PARMS,LMB,1.142624536,3.581171017,0.260915811,-0.294223671,1.050195404,0.291981341,0.897499694,-2.47202124,-1
212,MODEL1,PARMS,LMB,1.164792697,0.248903038,0.121270796,0.160761298,-1.053889928,0.569851608,-0.338811947,0.180667683,-1
213,MODEL1,PARMS,LMB,1.216712804,5.820344071,0.427990851,-1.058799738,4.370640024,0.132741275,-0.824078312,3.21921389,-1
214,MODEL1,PARMS,LMB,1.133974279,6.910378799,0.213607753,-0.318741678,1.384032587,0.102400653,0.90034203,-1.716401711,-1
