SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RLL
297,MODEL1,PARMS,RLL,0.887032921,-3.35814994,-0.072468756,0.193605551,-0.603513093,0.638486068,-1.250001536,2.552472952,-1
298,MODEL1,PARMS,RLL,0.954824945,-2.998183513,0.129243375,-0.324179474,0.682280985,0.553534106,-0.755247355,0.67163124,-1
299,MODEL1,PARMS,RLL,0.925642303,-0.889837803,0.059768806,-0.228458531,1.363228739,0.421275919,0.48665271,-1.625080898,-1
300,MODEL1,PARMS,RLL,0.911284652,1.883817329,-0.047192095,0.059915406,0.167713175,0.272579017,0.411066178,-1.448896143,-1
301,MODEL1,PARMS,RLL,0.858845765,2.35586157,0.153521989,-0.563363078,2.444400173,0.195712865,-0.229440971,0.586766828,-1
302,MODEL1,PARMS,RLL,0.864536269,-4.024246811,0.241952904,-0.405470652,1.148120162,0.56885341,-0.13218857,-0.395473795,-1
303,MODEL1,PARMS,RLL,0.887650827,-0.767514395,-0.140858904,0.362023159,-1.074891013,0.473784826,-0.537627361,1.362062522,-1
304,MODEL1,PARMS,RLL,0.838037007,3.020523971,-0.012054216,-0.050323238,0.517836591,0.205220939,-0.285626938,0.489227719,-1
305,MODEL1,PARMS,RLL,0.860364252,-2.662814615,0.197351723,-0.54855052,2.069788749,0.510788285,-0.190764301,-0.330531127,-1
306,MODEL1,PARMS,RLL,0.854823943,-5.531544046,0.162784897,-0.500224684,1.99574108,0.713602026,-1.469061535,2.623216793,-1
307,MODEL1,PARMS,RLL,0.88135056,3.730620935,0.092588012,-0.320709983,0.882444707,0.144287446,-0.895239602,2.271254263,-1
308,MODEL1,PARMS,RLL,0.891003699,-7.37214352,0.16409968,-0.241359364,0.046285473,0.836166368,-2.233614846,4.758992144,-1
309,MODEL1,PARMS,RLL,0.833028618,-8.78508148,0.165295424,-0.565083266,1.605331365,0.927930596,-1.740118411,2.771032048,-1
310,MODEL1,PARMS,RLL,0.962025212,-10.00924492,-0.023785737,0.079773182,-0.198128655,1.056370254,-2.330333407,4.360423259,-1
311,MODEL1,PARMS,RLL,0.928859352,2.578310299,0.036891491,0.101515699,-0.523883074,0.200862869,-0.017663608,0.62344806,-1
312,MODEL1,PARMS,RLL,0.9120011,6.116463173,-0.063704864,0.395967318,-1.845502029,0.007138948,1.07959998,-3.051062426,-1
313,MODEL1,PARMS,RLL,0.827266519,-2.800189967,-0.024242393,0.102914041,-0.684787429,0.598805711,-2.115001321,4.782810823,-1
314,MODEL1,PARMS,RLL,0.912916138,0.727561872,0.143442802,-0.315939792,1.173187314,0.293565292,0.130798556,-0.31967501,-1
315,MODEL1,PARMS,RLL,0.861735295,-3.867165781,-0.087630208,0.28780965,-1.285309628,0.672855084,-1.245183019,2.277469891,-1
316,MODEL1,PARMS,RLL,0.830657289,5.103035414,-0.038757306,-0.158842834,1.323591485,0.068540512,0.972215352,-2.555686185,-1
317,MODEL1,PARMS,RLL,0.835810029,0.698375625,0.17882574,-0.283456415,0.732579956,0.291402185,0.071266525,-0.531838615,-1
318,MODEL1,PARMS,RLL,0.917399846,1.392114765,0.088273535,-0.243712925,0.727658348,0.280939585,-0.193147515,-0.474145128,-1
319,MODEL1,PARMS,RLL,0.855353762,1.789373637,0.220380448,-0.663438841,2.244496837,0.233618105,-1.034890925,2.41831638,-1
320,MODEL1,PARMS,RLL,0.861896745,-4.085904715,0.12787471,-0.209673185,0.486678552,0.625695113,-1.308145646,2.358388952,-1
321,MODEL1,PARMS,RLL,0.827329623,-0.131305228,-0.028506099,-0.044590638,0.266756607,0.410535338,0.37504379,-2.012383891,-1
322,MODEL1,PARMS,RLL,0.934228888,-5.137217718,-0.057200084,0.452665361,-2.653906794,0.745461873,-0.868587203,0.898109747,-1
323,MODEL1,PARMS,RLL,0.932502591,-4.17588042,0.018602685,0.170073605,-0.938080969,0.652879289,-0.909339965,1.363059018,-1
324,MODEL1,PARMS,RLL,0.885496101,1.896138718,-0.188803843,0.27673785,-0.680419975,0.332265017,0.054919076,-1.10728234,-1
325,MODEL1,PARMS,RLL,0.972475453,4.178537121,-0.151651056,0.491832315,-1.830794829,0.153025761,-0.010402666,0.129725603,-1
326,MODEL1,PARMS,RLL,0.869625662,4.342377955,0.086131692,-0.109793574,0.218018089,0.0722858,1.413782835,-3.888153798,-1
327,MODEL1,PARMS,RLL,0.801961823,-7.751460853,0.168050762,-0.571528196,2.183336679,0.861620071,-2.024853978,4.270987068,-1
328,MODEL1,PARMS,RLL,0.858515769,4.12667316,-0.108260622,0.068371734,-0.206561614,0.163713776,0.096557406,-0.542174214,-1
329,MODEL1,PARMS,RLL,0.93379904,1.73173608,0.062438117,-0.043138013,-0.020362848,0.247909401,0.29120215,-1.034695792,-1
330,MODEL1,PARMS,RLL,0.874694669,-2.240154565,-0.115667769,0.303125236,-1.177005652,0.567888251,-0.325604604,-0.145046339,-1
331,MODEL1,PARMS,RLL,0.85216729,-4.253702957,0.085972223,-0.133560863,0.397746245,0.641689777,-0.718053299,0.625647325,-1
332,MODEL1,PARMS,RLL,0.932939736,11.60509634,0.031003436,-0.406990101,1.848629384,-0.368099139,1.688450355,-3.570192419,-1
333,MODEL1,PARMS,RLL,0.907412907,-10.06150928,0.131175012,-0.214375927,0.596110069,1.01422974,-2.296766461,4.162772437,-1
334,MODEL1,PARMS,RLL,0.9044086,1.071344145,0.083634832,-0.446875982,1.827128118,0.305436105,-0.333564083,0.849567201,-1
335,MODEL1,PARMS,RLL,0.942000126,3.774840192,0.224135857,-0.401610349,1.377526476,0.067209674,1.030548357,-2.528188278,-1
336,MODEL1,PARMS,RLL,0.860431517,2.015099852,-0.071916425,0.384634933,-2.169794469,0.267319199,1.15698356,-3.641147587,-1
337,MODEL1,PARMS,RLL,0.859622663,-8.250290574,0.053904106,-0.152533844,1.001409859,0.912322963,-1.689605725,3.005717598,-1
338,MODEL1,PARMS,RLL,0.94773507,0.584069561,0.00327597,-0.038022897,-0.148674266,0.345147293,0.367803911,-1.041767948,-1
339,MODEL1,PARMS,RLL,0.923756088,13.07097132,0.204747748,-0.426696038,1.348392646,-0.529359796,2.522863124,-5.747996171,-1
