SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RLL
687,MODEL1,PARMS,RLL,1.022467554,-1.203941675,0.117499011,-0.632644293,2.263022256,0.457105201,-1.432585311,2.911794531,-0.109481585,1.468236201,-3.858979509,-1
688,MODEL1,PARMS,RLL,1.046016512,0.511645625,0.238808681,-1.090157481,3.888472581,0.351248798,-0.661896592,1.225674502,-0.235365633,2.363311733,-6.285249722,-1
689,MODEL1,PARMS,RLL,1.017450419,7.999529311,0.262966148,-1.183889865,4.294834714,-0.086453624,1.406213188,-3.664390825,-0.254616441,1.013770516,-2.175594865,-1
690,MODEL1,PARMS,RLL,1.013557871,19.12587521,-0.049498945,0.128875562,-1.29129146,-0.721793519,1.037200185,-1.312416507,-0.200004855,2.463434616,-6.242222285,-1
691,MODEL1,PARMS,RLL,0.903978968,7.569097104,0.151045869,-0.308680279,0.238979015,-0.160400451,0.020991227,0.300994131,0.158401673,0.814423724,-2.343676188,-1
692,MODEL1,PARMS,RLL,1.124510792,16.66316535,0.063008995,-0.492064291,1.883438972,-0.722411295,3.202858889,-7.382913503,0.323696896,-0.402605931,0.628986016,-1
693,MODEL1,PARMS,RLL,0.998093471,17.59616032,0.158211481,-0.929174068,3.923314998,-0.669849954,1.962762336,-3.880776155,-0.175123293,1.860856235,-4.674305608,-1
694,MODEL1,PARMS,RLL,1.025385943,12.76952583,0.080788058,-0.387748956,1.024592743,-0.37500409,0.953268754,-1.46736501,-0.095952165,0.715533486,-1.637093535,-1
695,MODEL1,PARMS,RLL,1.037379347,4.787847228,0.154762329,-1.045530114,3.704599582,0.158130628,-1.601595965,4.311952716,-0.223911204,1.141748653,-2.74435577,-1
696,MODEL1,PARMS,RLL,0.971252121,17.61050652,0.054448411,-0.204263139,0.159536199,-0.722649993,1.865540375,-3.640163835,0.06948813,1.090082988,-2.960431894,-1
697,MODEL1,PARMS,RLL,0.968897637,5.361198811,0.063147943,-0.282022996,0.663165222,-0.038764749,0.111015646,-0.792569089,0.329112929,-0.030149628,-0.016790017,-1
698,MODEL1,PARMS,RLL,0.962690923,7.712079562,0.429399711,-1.05278131,2.783768286,-0.064744244,-0.219139826,0.609044711,-0.493959725,2.760951533,-6.31148969,-1
699,MODEL1,PARMS,RLL,0.996236727,15.56702284,0.007063765,0.189899609,-1.52444902,-0.631089501,2.692367191,-5.471783401,0.217875822,0.088918211,-0.890717166,-1
700,MODEL1,PARMS,RLL,0.905466159,12.96183537,0.061967422,-0.281405941,0.128104338,-0.362570184,1.596789069,-4.306518473,-0.1462458,1.276110427,-2.858676031,-1
701,MODEL1,PARMS,RLL,0.985701587,5.145128713,0.149008808,-0.772253141,2.629138353,0.165945619,-1.355487208,4.170221177,-0.355469752,1.878766092,-4.61861204,-1
702,MODEL1,PARMS,RLL,0.963953434,6.638333717,0.124456316,-0.385246057,1.102887741,-0.031397688,-0.882085845,1.940285461,-0.049452638,1.358008526,-2.977721131,-1
703,MODEL1,PARMS,RLL,0.992302505,13.17114934,0.120481643,-0.888227984,2.967611837,-0.43158317,1.984823967,-5.005253632,0.010509645,1.102202552,-3.06375991,-1
704,MODEL1,PARMS,RLL,1.000009068,-1.36113777,0.271158463,-1.285820249,4.696506734,0.362952794,-0.705373825,1.316090319,0.198987351,0.053390827,-0.454084382,-1
705,MODEL1,PARMS,RLL,0.96134506,1.896147481,-0.068115602,-0.057957261,0.030965106,0.311664121,-0.238353177,-0.130449941,-0.042515362,0.342433766,-0.608453512,-1
706,MODEL1,PARMS,RLL,0.912608763,2.474489565,0.163451847,-0.514468432,1.212024639,0.176597001,-0.767729644,1.848781072,0.05642017,1.066115706,-3.10846297,-1
