SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RB4_5
790,MODEL1,PARMS,RB4_5,0.773783521,8.018329617,0.003901626,-0.450450596,1.691743481,-0.293895774,1.068433807,-2.776521946,0.650898319,-1.678342127,3.649797914,-1
791,MODEL1,PARMS,RB4_5,0.820493618,-0.329747425,0.061502933,-0.418261357,1.894011645,0.24198682,-0.760925705,1.696605364,0.463727489,-1.213098906,2.184086868,-1
792,MODEL1,PARMS,RB4_5,0.975885026,7.021876506,0.099747298,-0.208244358,0.434823925,-0.215353735,1.444927815,-3.306463563,0.422785593,-1.327005776,3.013067239,-1
793,MODEL1,PARMS,RB4_5,0.769722848,10.12108482,-0.025925195,0.023904421,-0.221164483,-0.431375804,2.111164559,-5.069166863,0.688892032,-2.326488717,5.539484741,-1
794,MODEL1,PARMS,RB4_5,0.837622791,10.97513014,-0.05787825,0.151022023,-1.011505317,-0.334651493,0.379931627,-0.234131378,0.185943232,-0.382271849,0.945958586,-1
795,MODEL1,PARMS,RB4_5,0.91070804,7.922660351,0.264394436,-0.805468937,2.805232186,-0.330816593,1.107977694,-2.469431874,0.523287629,-1.337970407,2.841925427,-1
796,MODEL1,PARMS,RB4_5,0.961734669,19.40925315,-0.002853364,0.343808202,-2.274989477,-0.981298018,4.638695033,-10.80878213,0.62421885,-2.507410284,5.680099978,-1
797,MODEL1,PARMS,RB4_5,0.885283841,1.962533951,0.01002854,-0.421803012,1.655991221,0.050857059,-1.045703665,2.107760101,0.82129386,-2.537679436,5.754771496,-1
798,MODEL1,PARMS,RB4_5,0.964176514,7.018806152,0.322873289,-0.742300537,2.00185108,-0.257958741,0.209468281,-0.378552659,0.347961369,0.093161454,-0.643484671,-1
799,MODEL1,PARMS,RB4_5,0.885037091,9.375434575,-0.023058435,-0.095765426,0.002653216,-0.34458982,0.727143626,-1.820568719,0.564510412,-1.97942297,5.056779028,-1
800,MODEL1,PARMS,RB4_5,0.841501629,24.71908237,-0.162969941,0.541477149,-2.523090911,-1.214063034,2.148479639,-4.026065113,0.403240959,-0.126294453,0.115547294,-1
801,MODEL1,PARMS,RB4_5,0.860769612,8.306379912,0.134380354,-0.426068256,0.760824841,-0.305808973,0.289781909,-0.276260927,0.519593873,-1.5278383,3.425835214,-1
802,MODEL1,PARMS,RB4_5,0.909108211,5.354766474,-0.044792868,0.002434877,-0.046046573,-0.113769185,-0.342792826,1.278718778,0.60614541,-1.52559975,3.316048983,-1
803,MODEL1,PARMS,RB4_5,0.815192884,-1.826862722,-0.088111152,0.002604041,-0.083211337,0.440335304,-1.051895156,1.186854969,0.253985876,-0.6997168,1.825619004,-1
804,MODEL1,PARMS,RB4_5,0.809649195,6.633466509,-0.073646209,0.17784415,-0.832824291,-0.201067763,0.744371387,-2.180388794,0.651179244,-2.033528809,4.560145359,-1
805,MODEL1,PARMS,RB4_5,0.862151493,0.208659066,-0.205444218,0.521240186,-1.969523576,0.216365336,-0.038797765,0.13386159,0.658920932,-1.912035913,3.811751032,-1
806,MODEL1,PARMS,RB4_5,0.845094354,12.25398787,-0.169014377,0.308185103,-1.227374897,-0.420177302,1.297022773,-1.975001059,0.330266284,-1.129626226,2.1294624,-1
807,MODEL1,PARMS,RB4_5,0.857048211,6.207166414,0.063469043,-0.112231102,0.430116652,-0.14370273,-0.511397407,1.217418873,0.416501497,-1.420814623,3.963674923,-1
808,MODEL1,PARMS,RB4_5,0.838757787,2.937338451,0.041499622,-0.067245085,-0.239530926,-0.003768513,-0.121148584,0.178358346,0.623425717,-1.495775865,2.952286417,-1
809,MODEL1,PARMS,RB4_5,0.855377771,9.464899002,-0.051518894,-0.218903489,0.974203309,-0.287088247,-0.136150905,0.883313625,0.407054878,-0.723045749,1.186577118,-1
810,MODEL1,PARMS,RB4_5,1.017712696,3.890394721,0.288934021,-0.598606637,1.254524679,-0.131029578,0.87953486,-2.355289072,0.655887062,-1.758324571,3.700373706,-1
811,MODEL1,PARMS,RB4_5,0.955986474,9.032091605,-0.042328588,0.015213793,-0.182060742,-0.325804331,0.399591941,-0.658190653,0.57983239,-1.280637493,2.6447915,-1
812,MODEL1,PARMS,RB4_5,0.825207996,-0.643426529,0.129654681,-0.590749324,2.145647339,0.282557404,-1.020595812,1.471470336,0.342948169,-0.884412879,2.099117851,-1
813,MODEL1,PARMS,RB4_5,0.849141372,5.893517112,0.042437833,-0.243885585,0.56032906,-0.135341157,0.05639287,0.435937402,0.495323816,-1.54376778,3.290938023,-1
814,MODEL1,PARMS,RB4_5,0.820729415,15.55352967,-0.111806627,0.479804955,-1.857575805,-0.66471638,1.41298285,-2.44989076,0.37119882,-0.94489283,2.074930457,-1
815,MODEL1,PARMS,RB4_5,0.826811153,1.99323026,0.188360176,-0.5827311,1.987152067,0.08291278,-0.390204921,0.763101974,0.403154658,-0.930182855,1.894050658,-1
816,MODEL1,PARMS,RB4_5,0.849473576,13.73163311,-0.013976609,-0.357636736,1.500994708,-0.556691546,1.038291632,-1.93658012,0.386513133,-0.75509187,1.669440771,-1
