SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,sLB1
501,MODEL1,PARMS,sLB1,0.557371547,-4.228399466,0.001052555,-0.057627676,0.426927429,0.433912477,-0.345370723,0.096544043,-1
502,MODEL1,PARMS,sLB1,0.583265991,5.92289861,0.056261824,0.199897422,-1.22908763,-0.207951732,1.071491781,-2.19491013,-1
503,MODEL1,PARMS,sLB1,0.567531828,-2.805294408,0.116909776,-0.209074738,0.891707347,0.30977603,-0.081087165,-0.185102589,-1
504,MODEL1,PARMS,sLB1,0.558668821,2.604950434,0.102451953,-0.101563578,0.233987183,-0.008658639,0.070134258,0.102022895,-1
505,MODEL1,PARMS,sLB1,0.591891201,-1.929497333,-0.036233001,0.181947317,-0.642680402,0.309436128,-0.983652293,2.15990259,-1
506,MODEL1,PARMS,sLB1,0.522497945,9.181968647,-0.062182836,0.097832734,-0.42885011,-0.356808367,1.270087089,-2.341100349,-1
507,MODEL1,PARMS,sLB1,0.540461671,4.889135059,0.000620664,0.211618192,-0.847428638,-0.1234206,0.808466315,-1.653579778,-1
508,MODEL1,PARMS,sLB1,0.569991376,3.070176679,0.072168905,-0.011662385,-0.26250852,-0.032802917,0.553314285,-1.021840767,-1
509,MODEL1,PARMS,sLB1,0.727754369,-0.32073282,0.101214098,-0.345648121,1.820721134,0.178776486,-0.524114104,1.33982309,-1
510,MODEL1,PARMS,sLB1,0.561075445,7.523079745,0.136163064,-0.369160883,2.037371583,-0.318446231,1.675940216,-3.644418199,-1
511,MODEL1,PARMS,sLB1,0.575347587,1.722628281,0.016611293,0.030431256,-0.39976432,0.076096053,-0.16530844,0.580729408,-1
512,MODEL1,PARMS,sLB1,0.564689124,5.666712645,-0.06093669,0.26183135,-0.839535854,-0.154382989,1.089348741,-2.507183093,-1
513,MODEL1,PARMS,sLB1,0.620538239,-2.895682521,0.077740142,-0.19129536,1.005867492,0.337649193,-0.872069521,2.244644825,-1
514,MODEL1,PARMS,sLB1,0.626477776,4.388017219,0.031255988,-0.034020888,0.18247639,-0.094447655,0.463815257,-0.868580441,-1
515,MODEL1,PARMS,sLB1,0.595492396,-0.495405989,0.064126776,0.120717037,-1.290794209,0.199614474,-0.660248379,1.55743855,-1
516,MODEL1,PARMS,sLB1,0.603165138,6.016266377,0.088653941,-0.03330163,-0.088284027,-0.218326889,0.970195378,-1.581792553,-1
517,MODEL1,PARMS,sLB1,0.584553716,6.470498963,0.077896268,-0.123992379,0.633017723,-0.23482276,0.825612629,-1.585292886,-1
518,MODEL1,PARMS,sLB1,0.589959609,8.806169387,-0.036080449,0.264546192,-0.883281436,-0.348907819,0.88474216,-1.040631879,-1
519,MODEL1,PARMS,sLB1,0.600574987,5.789283779,-0.0125373,0.427767688,-2.004103003,-0.17428681,0.363597239,-0.209644353,-1
520,MODEL1,PARMS,sLB1,0.571292317,4.0157842,0.001309544,-0.04007269,0.372925516,-0.06015006,0.256853281,-0.378784278,-1
521,MODEL1,PARMS,sLB1,0.589739918,-5.950609992,0.04561036,-0.168277545,1.51690157,0.530800211,-1.678055648,3.415148646,-1
522,MODEL1,PARMS,sLB1,0.615616743,2.858552098,0.258665249,-0.519072828,1.788627264,-0.068064986,0.567872073,-1.061501979,-1
523,MODEL1,PARMS,sLB1,0.52890279,8.794708199,0.069095082,0.256824557,-1.43872816,-0.385922188,1.376267757,-2.672289212,-1
524,MODEL1,PARMS,sLB1,0.638543095,-0.255974972,0.184296222,-0.457730028,1.955148383,0.13898943,-0.023208534,-0.017000159,-1
525,MODEL1,PARMS,sLB1,0.597822407,3.122944799,0.073535661,-0.051973808,0.013056667,-0.034385086,0.487146665,-1.279173061,-1
526,MODEL1,PARMS,sLB1,0.555715531,5.336978298,0.067174221,-0.05824974,-0.00242514,-0.165259778,0.625890506,-1.139205478,-1
527,MODEL1,PARMS,sLB1,0.601373703,-0.008887082,0.083085795,-0.210684166,0.826681933,0.158992186,0.040697957,-0.459812417,-1
528,MODEL1,PARMS,sLB1,0.597860667,1.024289289,0.181797464,-0.429669633,1.303891694,0.066010951,0.552609419,-1.399493967,-1
