SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RMB
62,MODEL1,PARMS,RMB,1.707841761,-8.17595556,0.120282711,-0.511130493,2.198037169,1.290855206,-2.053608701,3.799986622,-1
63,MODEL1,PARMS,RMB,1.681920517,2.925156556,0.258336323,-0.923498057,3.056256905,0.584882759,1.215952451,-4.402370131,-1
64,MODEL1,PARMS,RMB,1.460297178,-0.751218287,-0.017907607,-0.109152456,0.366725805,0.911545553,-3.724937986,8.765863806,-1
65,MODEL1,PARMS,RMB,1.4392836,20.49263038,0.200713933,-0.849224939,2.617157572,-0.42611822,1.307677029,-2.500938418,-1
66,MODEL1,PARMS,RMB,1.521140014,-14.34848658,0.022352308,0.168452589,-1.757455222,1.707990825,-6.302178145,14.60272532,-1
67,MODEL1,PARMS,RMB,1.595407732,2.650455654,0.298320766,-0.988686015,3.588928407,0.583771133,0.908568812,-2.829680475,-1
68,MODEL1,PARMS,RMB,1.554906413,4.823202517,0.081605761,-0.054575353,0.196859792,0.505029865,0.184480576,-0.741055771,-1
69,MODEL1,PARMS,RMB,1.606352552,-8.277832468,0.524705446,-1.984800332,7.53672738,1.21578627,-2.783623714,6.077860783,-1
70,MODEL1,PARMS,RMB,1.444513104,-1.034298106,0.355292374,-0.767942177,3.175630924,0.777215934,-2.086540257,5.132400998,-1
71,MODEL1,PARMS,RMB,1.52970652,-4.713943473,0.331907111,-1.021441983,3.387074248,1.023738907,-0.7592987,0.378607039,-1
72,MODEL1,PARMS,RMB,1.539439154,5.888989585,-0.043389416,0.049268132,-0.743735872,0.495630966,-0.616886939,1.324922855,-1
73,MODEL1,PARMS,RMB,1.710522298,4.588872876,0.724041334,-2.223998905,7.614224379,0.362980617,1.154095636,-3.406457495,-1
74,MODEL1,PARMS,RMB,1.770961056,-0.326263892,0.17612336,-0.374870977,1.183006099,0.784364438,-0.802664433,1.16044178,-1
75,MODEL1,PARMS,RMB,1.587856854,-14.00895656,-0.143970897,0.230611106,-0.600633403,1.737012824,-4.704712999,9.337947082,-1
76,MODEL1,PARMS,RMB,1.684621062,-12.34558196,0.284042314,-0.894753442,3.000713694,1.51145853,-3.03382944,5.863087216,-1
77,MODEL1,PARMS,RMB,1.618739302,-0.866091488,0.256639315,-1.020589184,3.737499586,0.827345298,-1.538356099,3.43869972,-1
78,MODEL1,PARMS,RMB,1.601107179,14.33768311,0.10554082,-0.243832579,0.467577449,-0.065811746,1.100617445,-1.948137884,-1
79,MODEL1,PARMS,RMB,1.486679619,18.36391905,-0.078473509,-0.130893485,0.471720515,-0.253995932,1.841004666,-3.585363215,-1
80,MODEL1,PARMS,RMB,1.647660885,-6.013300911,0.533809414,-1.837236319,6.365060484,1.080836594,-3.007374933,6.838012747,-1
81,MODEL1,PARMS,RMB,1.49720224,-8.619058935,-0.077997842,-0.067629613,1.249000978,1.376217381,-1.992722468,3.396336072,-1
82,MODEL1,PARMS,RMB,1.639926665,-35.1900983,0.506473595,-2.204787679,9.299229856,2.846258568,-7.098401434,15.00233826,-1
83,MODEL1,PARMS,RMB,1.519516392,6.932820806,0.160451869,-0.718882622,2.870765635,0.36218368,0.025330067,0.90866637,-1
84,MODEL1,PARMS,RMB,1.62302498,5.276802781,-0.061279182,-0.319128467,1.497971825,0.541530977,-0.714211771,1.450519325,-1
85,MODEL1,PARMS,RMB,1.580353454,-14.60665989,-0.033878106,-0.133527113,0.88268078,1.731759126,-4.486240935,9.359842651,-1
86,MODEL1,PARMS,RMB,1.654904942,4.972376579,-0.165664354,0.068361127,0.388011234,0.566175908,-0.890887558,2.185698405,-1
87,MODEL1,PARMS,RMB,1.540135489,-4.806146481,0.434285693,-0.941704175,2.887207414,1.017791879,-3.787493473,9.181935916,-1
88,MODEL1,PARMS,RMB,1.588448905,-16.95244959,0.330600992,-1.064260061,4.155256753,1.767822961,-3.739850146,7.563364442,-1
89,MODEL1,PARMS,RMB,1.564616907,-26.79307081,0.320171206,-0.865699911,2.891059428,2.380214951,-6.697322541,13.58687595,-1
