SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RLL
330,MODEL1,PARMS,RLL,1.069333321,-16.86449076,0.061171233,-0.499487678,1.524993924,1.406926067,-3.079509301,5.732373164,-1
331,MODEL1,PARMS,RLL,0.925142722,13.82842791,-0.057251757,-0.199257121,0.283982151,-0.406917995,1.824327394,-4.077687855,-1
332,MODEL1,PARMS,RLL,0.990824559,12.47532228,-0.004611936,-0.257015919,0.500194235,-0.349522266,1.377185788,-2.569245327,-1
333,MODEL1,PARMS,RLL,0.988419161,16.94337846,0.061717147,-0.763782868,2.488067619,-0.612182062,1.342650352,-2.417648873,-1
334,MODEL1,PARMS,RLL,0.953154844,-2.105776531,-0.102526515,-0.23134925,0.451870035,0.586234483,-2.010839051,4.025024225,-1
335,MODEL1,PARMS,RLL,1.021171231,-0.428737217,-0.152821153,0.11850611,-1.530711692,0.487597283,-1.324332397,2.65739202,-1
336,MODEL1,PARMS,RLL,0.966771343,19.82218716,0.139866544,-0.496503848,1.170955281,-0.866673886,5.182152895,-11.52498173,-1
337,MODEL1,PARMS,RLL,0.959869898,17.0156761,0.152490514,-0.81199974,2.440841157,-0.652762362,2.058275286,-4.11066955,-1
338,MODEL1,PARMS,RLL,1.014324087,11.83607416,0.046843977,-0.532712332,1.470246334,-0.326352351,2.594911885,-6.372807564,-1
339,MODEL1,PARMS,RLL,1.02425959,11.15752563,0.055439849,-0.494835008,1.502161178,-0.29216666,1.637386953,-3.644063664,-1
340,MODEL1,PARMS,RLL,1.071566191,16.35685196,-0.013538192,-0.417263596,1.571389199,-0.567497814,2.303692777,-4.858328317,-1
341,MODEL1,PARMS,RLL,1.028397545,-11.36633114,0.137163107,-0.805553282,2.457802825,1.073199153,-2.876590805,5.632092935,-1
342,MODEL1,PARMS,RLL,1.039931067,6.215142902,0.175916544,-0.76320139,1.936377578,-0.010122031,0.572823424,-1.926592238,-1
343,MODEL1,PARMS,RLL,1.001610575,15.94766391,-0.093810645,-0.28516602,0.702809478,-0.52563724,2.827853775,-6.398586029,-1
344,MODEL1,PARMS,RLL,1.16104056,7.497351396,0.041664636,-0.445668956,0.968783265,-0.071926145,2.341941634,-5.469650203,-1
345,MODEL1,PARMS,RLL,1.00280778,3.588995629,0.151523852,-0.544401121,1.119772078,0.147421541,-0.032023351,-0.076620221,-1
346,MODEL1,PARMS,RLL,1.003848969,-0.672330396,-0.136995842,0.047586391,-0.109868749,0.493293222,-1.190267845,1.890124849,-1
347,MODEL1,PARMS,RLL,1.04005168,12.80647213,-0.075854689,-0.195361316,0.888756029,-0.350413401,1.569619551,-3.784207596,-1
348,MODEL1,PARMS,RLL,1.005136427,6.012654746,0.019261873,-0.106564703,-0.627240319,0.035169609,0.361177168,-0.759980584,-1
349,MODEL1,PARMS,RLL,0.962937148,17.03760469,0.207193951,-0.814080714,2.037684099,-0.673680962,2.160750439,-4.225138798,-1
350,MODEL1,PARMS,RLL,1.020960643,15.83230947,0.090982065,-0.247783908,0.014189759,-0.602419689,3.319218153,-6.906655998,-1
