SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RB4_5
104,MODEL1,PARMS,RB4_5,0.797256157,-4.658537473,0.04859039,-0.385789749,1.25348244,0.557162444,-2.120641759,4.808193512,0.489700147,-1.279669005,2.604336082,-1
105,MODEL1,PARMS,RB4_5,0.827468843,4.6612346,-0.029775375,-0.144192579,0.41872339,-0.092518112,0.603014196,-1.74197737,0.71266739,-2.150364598,4.756307587,-1
106,MODEL1,PARMS,RB4_5,0.842092303,6.185347647,0.282843675,-0.576452415,1.436999451,-0.285585414,-0.068510948,0.682950428,0.628826609,-0.389651097,0.47835464,-1
107,MODEL1,PARMS,RB4_5,0.916515723,8.91576595,0.00495332,-0.043301442,-0.521901735,-0.266176963,0.606971959,-1.548015911,0.124150586,0.190673392,-0.217470892,-1
108,MODEL1,PARMS,RB4_5,0.837492332,0.086881326,0.155708744,-0.304231478,0.836700645,0.166229781,-0.358745483,0.611482764,0.607793863,-1.373400807,2.635901811,-1
109,MODEL1,PARMS,RB4_5,0.856164483,12.6300791,0.131498582,-0.641967009,2.069128992,-0.531192385,1.758726006,-3.739391675,0.113171316,0.111599123,-0.230880155,-1
110,MODEL1,PARMS,RB4_5,0.883408428,7.033833246,0.284730984,-0.919413159,2.997809119,-0.303879228,0.443598168,-0.480373334,0.509998195,-1.136070192,2.344856412,-1
111,MODEL1,PARMS,RB4_5,0.859972023,3.099668723,0.080258726,-0.125988553,-0.429514358,0.055935139,-0.67579687,1.287264315,0.294044352,0.129414769,-0.164683026,-1
112,MODEL1,PARMS,RB4_5,0.903949288,0.804695706,0.182698398,-0.683195357,1.945895049,0.10491615,-1.054820304,2.584877149,0.731130527,-1.603191867,3.240259415,-1
113,MODEL1,PARMS,RB4_5,0.97337684,3.599046627,0.080412586,-0.281239671,0.851112903,0.005687934,-0.457305686,1.539585747,0.493284756,-2.20534619,5.009803673,-1
114,MODEL1,PARMS,RB4_5,0.900694442,5.260621867,0.095128887,-0.400844377,1.294051484,-0.146048729,1.222902633,-3.391131781,0.577975478,-1.819307866,4.115601385,-1
115,MODEL1,PARMS,RB4_5,0.833359483,5.933681389,0.193265353,-0.776353495,2.517471061,-0.20863365,0.217310026,-0.233949307,0.578339492,-0.853402466,1.347524379,-1
116,MODEL1,PARMS,RB4_5,0.794961642,2.954218645,-0.01537414,-0.137631899,0.267388111,0.007252466,0.235516876,-1.062278209,0.762657502,-1.945641738,3.923821628,-1
117,MODEL1,PARMS,RB4_5,0.962410846,6.663711449,0.005382482,-0.177775554,0.633599307,-0.240359827,0.528264822,-0.921940911,0.712402576,-2.245018106,4.893815047,-1
118,MODEL1,PARMS,RB4_5,0.89296314,9.331712975,-0.008637457,-0.282477314,0.908356612,-0.413956278,1.089886842,-2.107893538,0.765179583,-1.994864926,4.013732987,-1
119,MODEL1,PARMS,RB4_5,0.889008353,7.020941017,0.25293778,-0.796629469,2.74555269,-0.296937806,1.261719811,-3.082626596,0.476245086,-0.217489388,-0.270092525,-1
120,MODEL1,PARMS,RB4_5,0.82101776,-6.767574642,0.104271128,-0.52410685,1.410365495,0.669063139,-2.46165713,5.362210751,0.576651607,-1.935515945,4.250954757,-1
121,MODEL1,PARMS,RB4_5,0.864271916,3.623426144,0.053537025,-0.39533225,1.404414729,0.07659998,0.088027897,-0.726969649,0.084730281,0.196667806,-0.493905969,-1
122,MODEL1,PARMS,RB4_5,0.874847567,10.58505121,0.036471399,0.0106149,-0.502806022,-0.588637286,1.083084561,-1.996157379,1.097271878,-2.997088161,6.144875394,-1
123,MODEL1,PARMS,RB4_5,0.878167936,8.688758141,-0.14939482,0.155860035,-1.210909663,-0.27382949,1.131694433,-2.884284139,0.485495886,-1.11219293,2.279796354,-1
124,MODEL1,PARMS,RB4_5,0.89103885,5.944819291,0.257661305,-0.634923626,1.904067253,-0.30809701,1.109301951,-2.578924616,0.858015886,-1.985397214,3.764917846,-1
125,MODEL1,PARMS,RB4_5,0.863528192,7.394356208,0.145393829,-0.689105553,2.903947055,-0.193240602,0.590212735,-1.317584778,0.090430586,0.084650145,0.100643541,-1
126,MODEL1,PARMS,RB4_5,0.88926011,2.037149943,0.026896038,-0.07081471,-0.091625907,0.011918095,-0.660461654,1.845162778,0.933467303,-2.435963236,4.841110292,-1
127,MODEL1,PARMS,RB4_5,0.808477905,12.28567148,0.053063672,-0.245335772,0.763509913,-0.555383816,1.489566212,-2.402422645,0.325412569,0.022803687,-0.643526775,-1
128,MODEL1,PARMS,RB4_5,0.973860248,13.61911054,0.131835722,-0.442335217,1.685863139,-0.602631504,2.242513873,-4.836766461,-0.050007792,1.318295207,-2.896914273,-1
129,MODEL1,PARMS,RB4_5,0.878880085,4.536483972,-0.004001212,-0.186254438,0.768635656,-0.137881204,-0.434338286,1.659314312,0.951161318,-2.510857982,5.204345194,-1
130,MODEL1,PARMS,RB4_5,0.834959626,10.64808857,-0.028909189,-0.066112054,-0.139507896,-0.547005435,1.526509888,-3.382407204,0.950380837,-1.978757302,3.481440356,-1
131,MODEL1,PARMS,RB4_5,0.877461601,1.37570885,0.055334104,-0.580876396,2.098064004,0.187155093,-1.66595293,3.853351056,0.398857858,-0.970609745,2.111839459,-1
132,MODEL1,PARMS,RB4_5,0.837757049,11.95484893,0.050546219,-0.258277058,0.678632205,-0.627766282,1.96092287,-3.944158142,0.789897321,-1.364537218,2.342154729,-1
133,MODEL1,PARMS,RB4_5,0.831087852,9.339660917,0.204486844,-0.717104441,2.500847812,-0.345939893,1.023602798,-2.42544191,0.10049856,0.049383539,0.368554482,-1
134,MODEL1,PARMS,RB4_5,0.860166192,4.980856662,0.198377172,-0.655924669,1.454204465,-0.036624975,0.113477577,-0.589301882,0.100404648,-0.761425385,2.558705035,-1
135,MODEL1,PARMS,RB4_5,0.903945334,5.133302361,0.3257325,-0.861355204,2.618493731,-0.251754739,1.004714939,-2.680183466,0.789434649,-1.6346414,3.274452856,-1
136,MODEL1,PARMS,RB4_5,0.84100614,4.503389432,0.024318594,-0.370342256,1.340672249,-0.080839578,0.362185687,-0.788887795,0.652106013,-1.797887666,3.521229423,-1
