SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,sLB10
100,MODEL1,PARMS,sLB10,0.967161294,2.453698886,0.226110898,0.069670975,-0.337850522,-1
101,MODEL1,PARMS,sLB10,0.990863071,2.354046033,0.312934971,-1.239878032,2.448401105,-1
102,MODEL1,PARMS,sLB10,1.001776105,1.667469328,0.435201172,-0.432100727,0.393933826,-1
103,MODEL1,PARMS,sLB10,0.93066193,2.035950447,0.353049882,-0.205005252,0.065706721,-1
104,MODEL1,PARMS,sLB10,0.944165722,2.039454734,0.357236002,-0.637629598,0.93637851,-1
105,MODEL1,PARMS,sLB10,0.959864318,1.684857863,0.473984157,-1.178361871,1.902045831,-1
106,MODEL1,PARMS,sLB10,1.011007909,1.147235694,0.66216808,-2.362662221,4.065415599,-1
107,MODEL1,PARMS,sLB10,0.916689296,2.275612053,0.296436974,-0.339781669,0.27294458,-1
108,MODEL1,PARMS,sLB10,1.00756304,1.387016863,0.564038303,-1.830574148,3.043093175,-1
109,MODEL1,PARMS,sLB10,0.984162396,1.964769887,0.382035864,-0.498667844,0.575774252,-1
110,MODEL1,PARMS,sLB10,0.974736357,2.059843704,0.376012142,-0.934833868,1.518185657,-1
111,MODEL1,PARMS,sLB10,0.930643218,2.515250083,0.186073878,0.416426174,-0.978102168,-1
112,MODEL1,PARMS,sLB10,0.972472032,2.551311037,0.189155122,0.24408667,-0.644701161,-1
113,MODEL1,PARMS,sLB10,0.93179859,1.556598212,0.457996705,-0.551714461,0.66995086,-1
114,MODEL1,PARMS,sLB10,0.977962474,2.004639323,0.405426699,-1.238910316,2.146211859,-1
115,MODEL1,PARMS,sLB10,0.962270502,2.356300898,0.277643333,-0.654646048,1.176068585,-1
116,MODEL1,PARMS,sLB10,0.950737195,3.020019479,0.068581584,0.656571059,-1.277870479,-1
117,MODEL1,PARMS,sLB10,0.879049069,1.582162065,0.470411157,-0.824972889,1.085759318,-1
118,MODEL1,PARMS,sLB10,0.962442625,3.671085911,-0.11249809,1.786537486,-3.453531773,-1
119,MODEL1,PARMS,sLB10,0.974017219,1.733866551,0.399290259,-0.210871402,-0.007678475,-1
120,MODEL1,PARMS,sLB10,0.95433442,2.695178937,0.120630795,0.886787197,-1.7800192,-1
121,MODEL1,PARMS,sLB10,0.920723968,1.998258595,0.331357339,-0.253873029,0.242524209,-1
122,MODEL1,PARMS,sLB10,0.999936589,2.130212937,0.292232057,0.256065432,-0.960428096,-1
123,MODEL1,PARMS,sLB10,0.89931096,2.599109438,0.192288488,-0.046614569,0.025072856,-1
124,MODEL1,PARMS,sLB10,0.915375443,1.975749927,0.349818761,-0.328002648,0.355892454,-1
125,MODEL1,PARMS,sLB10,1.002131657,2.368279512,0.294814761,-0.731759887,1.335640849,-1
126,MODEL1,PARMS,sLB10,0.9441754,1.61963532,0.500477669,-0.986073602,1.31634797,-1
127,MODEL1,PARMS,sLB10,0.94439779,1.426803803,0.543312331,-1.402741119,2.251193777,-1
128,MODEL1,PARMS,sLB10,0.957047483,2.812993814,0.105760779,0.717760108,-1.541142663,-1
129,MODEL1,PARMS,sLB10,0.860922023,2.581313321,0.202234403,-0.018663456,-0.239045423,-1
130,MODEL1,PARMS,sLB10,0.92392052,2.681883113,0.201176372,-0.344063566,0.556203349,-1
131,MODEL1,PARMS,sLB10,0.915501799,2.220980657,0.315979678,-0.828449116,1.371632991,-1
132,MODEL1,PARMS,sLB10,0.975394504,1.372084244,0.514458756,-0.88551122,1.098439888,-1
133,MODEL1,PARMS,sLB10,0.946748412,1.770898225,0.419705902,-0.701125842,0.922268289,-1
134,MODEL1,PARMS,sLB10,0.929070257,1.856167598,0.398190227,-0.451876454,0.491799246,-1
135,MODEL1,PARMS,sLB10,0.930700083,1.640175366,0.446215318,-0.916196315,1.421116829,-1
136,MODEL1,PARMS,sLB10,0.915614004,2.039451074,0.356466818,-0.767644351,1.166490532,-1
137,MODEL1,PARMS,sLB10,0.962793521,3.125182173,0.065340837,0.187040685,-0.298382719,-1
138,MODEL1,PARMS,sLB10,0.923200007,2.567885831,0.216014017,-0.130869184,0.109852556,-1
139,MODEL1,PARMS,sLB10,0.928360958,2.273578183,0.294029825,-0.504836082,0.77958802,-1
140,MODEL1,PARMS,sLB10,1.003038246,2.27067367,0.269049083,-0.238014152,0.310202246,-1
141,MODEL1,PARMS,sLB10,0.991183717,2.000145234,0.342716855,-0.15920903,-0.055160069,-1
142,MODEL1,PARMS,sLB10,0.903283569,2.321529519,0.243104893,0.384323441,-1.040649196,-1
143,MODEL1,PARMS,sLB10,0.889962619,2.247760659,0.278013607,-0.197767381,0.171127732,-1
144,MODEL1,PARMS,sLB10,0.954012783,2.779148424,0.162821282,0.022206813,-0.133212513,-1
145,MODEL1,PARMS,sLB10,0.976104436,2.757185217,0.206818296,-0.57916498,1.035748023,-1
