SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RLL
429,MODEL1,PARMS,RLL,0.939332231,4.196732418,0.496551939,-0.804745493,1.237487549,-1
430,MODEL1,PARMS,RLL,0.930170452,3.473149459,0.661064398,-0.978746218,1.396688484,-1
431,MODEL1,PARMS,RLL,0.939068448,4.780437584,0.326757998,-0.245856716,0.362998675,-1
432,MODEL1,PARMS,RLL,0.966885038,5.067736117,0.260412497,-0.06898972,0.230124885,-1
433,MODEL1,PARMS,RLL,0.92356805,3.349626195,0.74362223,-1.888480344,3.138773785,-1
434,MODEL1,PARMS,RLL,0.938908898,5.328685019,0.182957012,0.62387124,-1.27003199,-1
435,MODEL1,PARMS,RLL,0.90080399,4.539696641,0.419740316,-0.783709366,1.322917041,-1
436,MODEL1,PARMS,RLL,0.927310183,3.076902305,0.764363093,-1.266306657,1.837274525,-1
437,MODEL1,PARMS,RLL,0.981997923,4.029878736,0.546392198,-0.768321763,1.000079604,-1
438,MODEL1,PARMS,RLL,0.913149249,3.663000245,0.692250307,-1.832896097,2.929488812,-1
439,MODEL1,PARMS,RLL,0.914758651,4.514260236,0.398498457,-0.277480216,0.326382208,-1
440,MODEL1,PARMS,RLL,0.96129285,4.125752539,0.514773295,-0.851290579,1.192139735,-1
441,MODEL1,PARMS,RLL,0.930399379,4.696118707,0.378075162,-0.570902962,0.932671392,-1
442,MODEL1,PARMS,RLL,0.961068245,5.281028216,0.213310446,-0.207787212,0.370853805,-1
443,MODEL1,PARMS,RLL,0.984708953,3.592268861,0.679379733,-1.7531455,2.904484368,-1
444,MODEL1,PARMS,RLL,0.898769639,4.133158629,0.517224829,-0.656193147,0.800852688,-1
445,MODEL1,PARMS,RLL,0.943319914,4.690139622,0.347552625,-0.182749525,0.069576506,-1
446,MODEL1,PARMS,RLL,0.991949979,3.806067261,0.616425414,-1.468452453,2.437360269,-1
447,MODEL1,PARMS,RLL,0.971329529,3.940925629,0.557239135,-1.020636552,1.52514519,-1
448,MODEL1,PARMS,RLL,0.956842804,5.191018969,0.230791201,0.26411934,-0.576299855,-1
449,MODEL1,PARMS,RLL,0.976641093,5.111146124,0.247810677,0.412367461,-1.048825546,-1
450,MODEL1,PARMS,RLL,0.943312785,3.131606512,0.808966737,-1.447416854,1.974699411,-1
451,MODEL1,PARMS,RLL,0.927529444,4.136467499,0.561602533,-1.537986131,2.627460753,-1
452,MODEL1,PARMS,RLL,0.96636771,4.784163958,0.343325094,0.022717094,-0.457942283,-1
453,MODEL1,PARMS,RLL,0.913767182,4.608685898,0.403119374,-0.589769376,0.815269705,-1
454,MODEL1,PARMS,RLL,0.940874886,4.27444984,0.510564836,-0.964068395,1.371345825,-1
455,MODEL1,PARMS,RLL,1.004597031,3.850203986,0.623553279,-1.727046094,2.906817175,-1
456,MODEL1,PARMS,RLL,0.951243077,4.853343806,0.347215481,-0.56344214,1.023189419,-1
457,MODEL1,PARMS,RLL,0.958513537,4.093793866,0.556632255,-1.52473269,2.527409597,-1
