SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RB10
982,MODEL1,PARMS,RB10,0.847961177,3.307165471,0.251163996,0.091342317,-0.149253086,-1
983,MODEL1,PARMS,RB10,0.811071078,1.972134929,0.63044693,-1.532004124,2.598050914,-1
984,MODEL1,PARMS,RB10,0.794172908,2.731518705,0.421882013,-0.697263044,1.055320439,-1
985,MODEL1,PARMS,RB10,0.81645917,1.792331287,0.661880271,-1.480071781,2.432465984,-1
986,MODEL1,PARMS,RB10,0.781785065,3.375035394,0.200764023,0.574357371,-1.112397584,-1
987,MODEL1,PARMS,RB10,0.790648708,2.128850933,0.602421874,-1.644268722,2.881885906,-1
988,MODEL1,PARMS,RB10,0.768767682,2.611743443,0.455854457,-0.692009381,1.061633167,-1
989,MODEL1,PARMS,RB10,0.780565029,3.434400578,0.208984359,0.402263874,-0.865170716,-1
990,MODEL1,PARMS,RB10,0.748752299,2.832283892,0.396553949,-0.400095291,0.423724648,-1
991,MODEL1,PARMS,RB10,0.838553431,3.154755476,0.265479574,0.250621237,-0.642682542,-1
992,MODEL1,PARMS,RB10,0.785020099,2.271649042,0.510324807,-0.66248788,0.943597696,-1
993,MODEL1,PARMS,RB10,0.828094781,2.026725986,0.605339698,-1.213950992,1.976974819,-1
994,MODEL1,PARMS,RB10,0.796541978,3.116450491,0.332778781,-0.37900979,0.585060592,-1
995,MODEL1,PARMS,RB10,0.778986203,2.463363939,0.438902507,-0.147259606,0.032012955,-1
996,MODEL1,PARMS,RB10,0.782729771,2.045067156,0.587005714,-1.422330283,2.328367895,-1
997,MODEL1,PARMS,RB10,0.818450177,2.689876413,0.452829854,-1.163538652,2.108347121,-1
998,MODEL1,PARMS,RB10,0.801865647,2.420589138,0.496806867,-0.820649301,1.2740016,-1
999,MODEL1,PARMS,RB10,0.800782857,2.889138221,0.337792076,0.156956932,-0.546683539,-1
1000,MODEL1,PARMS,RB10,0.818154655,2.413193206,0.500886938,-1.001328701,1.684839347,-1
