SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RMB
619,MODEL1,PARMS,RMB,1.70175508,10.29380885,0.395226311,2.205103199,-4.126614783,-1
620,MODEL1,PARMS,RMB,1.623309746,7.807150688,1.048029196,-0.514308984,0.533535937,-1
621,MODEL1,PARMS,RMB,1.604252466,10.60929067,0.261214848,2.955366816,-5.515557489,-1
622,MODEL1,PARMS,RMB,1.626611763,8.359165407,1.00426808,-1.454604139,2.403019836,-1
623,MODEL1,PARMS,RMB,1.604926579,8.432890396,0.839586922,0.949422018,-2.090064026,-1
624,MODEL1,PARMS,RMB,1.591770545,8.16900255,1.023694452,-1.073765739,1.537366453,-1
625,MODEL1,PARMS,RMB,1.572256537,9.44400926,0.562565652,1.951653675,-3.888885807,-1
626,MODEL1,PARMS,RMB,1.606069442,9.516927953,0.570796751,1.458649943,-2.824540033,-1
627,MODEL1,PARMS,RMB,1.707966666,5.375940693,1.788671397,-4.357749749,7.326457035,-1
628,MODEL1,PARMS,RMB,1.610860792,8.728269205,0.791489849,0.053079081,-0.227561667,-1
629,MODEL1,PARMS,RMB,1.635710169,7.974091126,0.997757214,-0.56956433,0.613067376,-1
630,MODEL1,PARMS,RMB,1.584055508,8.968763442,0.756860537,0.265797901,-0.548948984,-1
631,MODEL1,PARMS,RMB,1.662384005,8.319995747,0.975167245,-1.00535406,1.67501975,-1
632,MODEL1,PARMS,RMB,1.615841267,9.412232553,0.6237799,0.671699896,-1.416910493,-1
633,MODEL1,PARMS,RMB,1.582410899,7.981966446,0.986562634,-0.162287764,-0.227145893,-1
634,MODEL1,PARMS,RMB,1.593193925,9.002328435,0.70990974,0.628138247,-1.540961068,-1
635,MODEL1,PARMS,RMB,1.617752306,7.66909615,1.151101185,-1.655481842,2.859203581,-1
636,MODEL1,PARMS,RMB,1.673313371,10.05416398,0.459534137,1.022697455,-1.655064846,-1
637,MODEL1,PARMS,RMB,1.554600189,8.245832462,0.915263158,0.006387464,-0.695549511,-1
638,MODEL1,PARMS,RMB,1.711864061,8.718515926,0.806964028,-0.030820293,-0.115109572,-1
639,MODEL1,PARMS,RMB,1.646330495,10.34849481,0.292730717,3.542636165,-6.918435603,-1
640,MODEL1,PARMS,RMB,1.662702282,9.44866077,0.557256846,1.71186281,-3.212260468,-1
641,MODEL1,PARMS,RMB,1.551940647,7.4743526,1.162221703,-1.758782654,2.967006568,-1
642,MODEL1,PARMS,RMB,1.647991571,7.913346925,1.083426303,-1.856329785,3.572803931,-1
643,MODEL1,PARMS,RMB,1.557924664,6.57942709,1.441192155,-2.904601778,4.872578968,-1
644,MODEL1,PARMS,RMB,1.79669905,10.27105854,0.445483299,0.738591595,-1.233000118,-1
645,MODEL1,PARMS,RMB,1.51903847,7.97820525,0.981507155,-0.31446309,0.369994913,-1
646,MODEL1,PARMS,RMB,1.542777905,8.612544759,0.879106981,-0.987182128,1.782135491,-1
647,MODEL1,PARMS,RMB,1.566204822,9.618359382,0.507399558,1.698586841,-3.24555263,-1
648,MODEL1,PARMS,RMB,1.581196412,8.07500238,0.922751471,0.525042651,-1.446251831,-1
649,MODEL1,PARMS,RMB,1.664465666,7.525499762,1.047028799,0.337594099,-1.240800741,-1
650,MODEL1,PARMS,RMB,1.71454278,8.034887237,1.052965739,-1.073965314,1.598197212,-1
651,MODEL1,PARMS,RMB,1.656229271,7.828407983,1.088569337,-1.553539104,2.633857089,-1
652,MODEL1,PARMS,RMB,1.666779471,10.30479549,0.42550531,1.859273408,-3.513203774,-1
653,MODEL1,PARMS,RMB,1.686581035,8.508024251,0.862821582,-0.723601179,1.510105702,-1
654,MODEL1,PARMS,RMB,1.607508647,11.05426256,0.124637655,2.442461855,-4.163750901,-1
655,MODEL1,PARMS,RMB,1.575906382,9.364237238,0.593849773,0.981782806,-1.877525309,-1
656,MODEL1,PARMS,RMB,1.665092611,8.155991544,0.92555302,0.263989746,-1.162022152,-1
657,MODEL1,PARMS,RMB,1.670169305,9.8693897,0.546847502,0.523202101,-1.047513467,-1
658,MODEL1,PARMS,RMB,1.592664494,8.558038161,0.797802991,1.15162001,-2.623566843,-1
659,MODEL1,PARMS,RMB,1.592791834,8.123621853,0.993872007,-0.891542882,1.417312055,-1
660,MODEL1,PARMS,RMB,1.614381877,8.753421829,0.831024908,0.191596565,-0.572473403,-1
661,MODEL1,PARMS,RMB,1.56105294,5.517466475,1.693759229,-2.630340222,3.74716112,-1
662,MODEL1,PARMS,RMB,1.547446774,7.707834854,1.100062922,-1.212311936,1.964708106,-1
663,MODEL1,PARMS,RMB,1.703417164,9.805630657,0.476859152,1.816607012,-3.337562517,-1
664,MODEL1,PARMS,RMB,1.518793775,8.173554963,1.010649219,-1.715265163,3.15820993,-1
665,MODEL1,PARMS,RMB,1.63658634,8.656550764,0.77331731,1.174127067,-2.492550133,-1
666,MODEL1,PARMS,RMB,1.582816403,8.210307649,0.906263262,-0.029120232,-0.215740098,-1
667,MODEL1,PARMS,RMB,1.544358757,10.27554967,0.446066875,0.072266642,0.322611405,-1
668,MODEL1,PARMS,RMB,1.680869353,7.724376082,1.099710186,-0.126944368,-0.677694601,-1
669,MODEL1,PARMS,RMB,1.499184225,8.847446541,0.809579607,-0.157032369,0.137531366,-1
670,MODEL1,PARMS,RMB,1.689695437,8.723058406,0.790857334,-0.00787872,0.058164085,-1
671,MODEL1,PARMS,RMB,1.567069818,7.556554202,1.167144895,-1.31368612,1.964241552,-1
672,MODEL1,PARMS,RMB,1.623174894,8.38676933,0.932947955,-1.331039091,2.514643621,-1
673,MODEL1,PARMS,RMB,1.631913483,8.337799082,0.898231992,0.660681086,-1.796300423,-1
674,MODEL1,PARMS,RMB,1.593032674,9.835222655,0.464330388,2.051908741,-3.920715532,-1
675,MODEL1,PARMS,RMB,1.620860301,9.032422468,0.742127327,0.461547691,-1.152763713,-1
676,MODEL1,PARMS,RMB,1.605591921,4.549653208,1.963930791,-5.197688704,9.237609864,-1
677,MODEL1,PARMS,RMB,1.689419205,9.915219624,0.495897938,1.698818257,-3.363884913,-1
678,MODEL1,PARMS,RMB,1.741061733,8.214162948,0.897768339,0.431871874,-1.262382761,-1
679,MODEL1,PARMS,RMB,1.565359921,8.294071345,0.973733446,-0.722255231,0.817204221,-1
680,MODEL1,PARMS,RMB,1.505562444,7.848242061,1.049255806,-1.14892821,1.919270164,-1
681,MODEL1,PARMS,RMB,1.623554768,8.316040506,0.979398668,-0.981951987,1.597471375,-1
682,MODEL1,PARMS,RMB,1.595101194,9.153900629,0.686261981,0.449560852,-0.901977196,-1
